instrumento,titulo_ementa,emissor,data,url_oficial,situacao_no_estudo,id_matriz
Decreto n. 8.936/2016,"Decreto n. 8.936, de 19 de dezembro de 2016. Institui a Plataforma de Cidadania Digital e dispõe sobre a oferta dos serviços públicos digitais",Brasil,2016/12/19,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/decreto/d8936.htm,fonte de caso ilustrativo,
Lei n. 13.709/2018,"Lei n. 13.709, de 14 de agosto de 2018. Lei Geral de Proteção de Dados Pessoais (LGPD)",Brasil,2018/08/14,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709.htm,codificado,LGPD
Decreto n. 9.637/2018,"Decreto n. 9.637, de 26 de dezembro de 2018. Institui a Política Nacional de Segurança da Informação",Brasil,2018/12/26,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/decreto/d9637.htm,trajetória (revogado),
Decreto n. 9.573/2018,"Decreto n. 9.573, de 22 de novembro de 2018. Aprova a Política Nacional de Segurança de Infraestruturas Críticas",Brasil,2018/11/22,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/decreto/d9573.htm,codificado,9573
Decreto n. 9.319/2018,"Decreto n. 9.319, de 21 de março de 2018. Institui o Sistema Nacional para a Transformação Digital e estabelece a estrutura de governança para a implantação da Estratégia Brasileira para a Transformação Digital",Brasil,2018/03/21,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/decreto/d9319.htm,trajetória (revogado),
Decreto n. 10.222/2020,"Decreto n. 10.222, de 5 de fevereiro de 2020. Aprova a Estratégia Nacional de Segurança Cibernética",Brasil,2020/02/05,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/decreto/d10222.htm,trajetória (revogado),
Decreto n. 10.332/2020,"Decreto n. 10.332, de 28 de abril de 2020. Institui a Estratégia de Governo Digital para o período de 2020 a 2022",Brasil,2020/04/28,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/decreto/d10332.htm,trajetória (revogado),
Decreto n. 10.569/2020,"Decreto n. 10.569, de 9 de dezembro de 2020. Aprova a Estratégia Nacional de Segurança de Infraestruturas Críticas",Brasil,2020/12/09,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/decreto/d10569.htm,codificado,10569
IN GSI/PR n. 1/2020,"Instrução Normativa n. 1, de 27 de maio de 2020. Dispõe sobre a Estrutura de Gestão da Segurança da Informação nos órgãos e nas entidades da administração pública federal",Brasil. Gabinete de Segurança Institucional,2020/05/27,https://www.gov.br/gsi/pt-br/seguranca-da-informacao-e-cibernetica/legislacao/copy_of_IN01_consolidada.pdf,codificado,IN1
Lei n. 14.129/2021,"Lei n. 14.129, de 29 de março de 2021. Dispõe sobre princípios, regras e instrumentos para o Governo Digital e para o aumento da eficiência pública",Brasil,2021/03/29,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14129.htm,codificado,14129
Decreto n. 10.748/2021,"Decreto n. 10.748, de 16 de julho de 2021. Institui a Rede Federal de Gestão de Incidentes Cibernéticos",Brasil,2021/07/16,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/decreto/d10748.htm,codificado,10748
IN GSI/PR n. 5/2021,"Instrução Normativa n. 5, de 30 de agosto de 2021. Dispõe sobre os requisitos mínimos de segurança da informação para utilização de soluções de computação em nuvem pelos órgãos e pelas entidades da administração pública federal",Brasil. Gabinete de Segurança Institucional,2021/08/30,https://www.in.gov.br/en/web/dou/-/instrucao-normativa-n-5-de-30-de-agosto-de-2021-341649684,codificado,IN5
Decreto n. 11.856/2023,"Decreto n. 11.856, de 26 de dezembro de 2023. Institui a Política Nacional de Cibersegurança e o Comitê Nacional de Cibersegurança",Brasil,2023/12/26,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/decreto/d11856.htm,codificado,11856
Lei n. 14.968/2024,"Lei n. 14.968, de 11 de setembro de 2024. Aperfeiçoa a política industrial para o setor de tecnologias da informação e comunicação e para o setor de semicondutores; cria o Programa Brasil Semicondutores (Brasil Semicon)",Brasil,2024/09/11,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/lei/l14968.htm,codificado,14968
Decreto n. 12.198/2024,"Decreto n. 12.198, de 24 de setembro de 2024. Institui a Estratégia Federal de Governo Digital para o período de 2024 a 2027 e a Infraestrutura Nacional de Dados",Brasil,2024/09/24,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/decreto/d12198.htm,codificado,12198
Decreto n. 12.308/2024,"Decreto n. 12.308, de 11 de dezembro de 2024. Institui o Comitê Interministerial para a Transformação Digital",Brasil,2024/12/11,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/decreto/d12308.htm,codificado,12308
Plano Brasileiro de Inteligência Artificial 2024-2028: IA para o bem de todos,Plano Brasileiro de Inteligência Artificial 2024-2028: IA para o bem de todos,"Brasil. Ministério da Ciência, Tecnologia e Inovação",2024,https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/transformacaodigital/plano-brasileiro-de-inteligencia-artificial-pbia-_vf.pdf,codificado,PBIA
Decreto n. 12.572/2025,"Decreto n. 12.572, de 4 de agosto de 2025. Institui a Política Nacional de Segurança da Informação e dispõe sobre a governança da segurança da informação no âmbito da administração pública federal",Brasil,2025/08/04,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2025/decreto/d12572.htm,codificado,12572
Decreto n. 12.573/2025,"Decreto n. 12.573, de 4 de agosto de 2025. Institui a Estratégia Nacional de Cibersegurança",Brasil,2025/08/04,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2025/decreto/d12573.htm,codificado,12573
IN GSI/PR n. 8/2025,"Instrução Normativa n. 8, de 6 de outubro de 2025. Dispõe sobre os requisitos mínimos de segurança da informação para tratamento de informação classificada em computação em nuvem",Brasil. Gabinete de Segurança Institucional,2025/10/06,,codificado,IN5
PL n. 4.752/2025,"Projeto de Lei n. 4.752, de 2025. Institui o Marco Legal da Cibersegurança, cria o Programa Nacional de Segurança e Resiliência Digital e altera a Lei n. 13.756, de 12 de dezembro de 2018",Brasil. Senado Federal,2025/09/24,https://www25.senado.leg.br/web/atividade/materias/-/materia/170613,discutido (em tramitação),
Nota de esclarecimento sobre a Instrução Normativa nº 8/2025 e o Acordo de Cooperação Técnica com a Amazon Web Services,Nota de esclarecimento sobre a Instrução Normativa nº 8/2025 e o Acordo de Cooperação Técnica com a Amazon Web Services,Brasil. Gabinete de Segurança Institucional,2025,https://www.gov.br/gsi/pt-br/centrais-de-conteudo/noticias/2025/nota-de-esclarecimento-sobre-a-instrucao-normativa-no-8-2025-e-o-acordo-de-cooperacao-tecnica-com-a-amazon-web-services,fonte de caso ilustrativo,
Nuvem de Governo,Nuvem de Governo,Brasil. Ministério da Gestão e da Inovação em Serviços Públicos,2025,https://www.gov.br/governodigital/pt-br/infraestrutura-nacional-de-dados/ambiente-tecnologico/nuvem/nuvem-de-governo,fonte de caso ilustrativo,
Lei n. 15.352/2026,"Lei n. 15.352, de 25 de fevereiro de 2026. Transforma cargos no âmbito do Poder Executivo federal; altera a Lei n. 13.709, de 14 de agosto de 2018, para dispor sobre a Agência Nacional de Proteção de Dados (ANPD)",Brasil,2026/02/25,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2026/lei/l15352.htm,codificado,LGPD
Lei n. 15.504/2026,"Lei n. 15.504, de 15 de setembro de 2026. Altera a Lei n. 11.196, de 21 de novembro de 2005, para instituir o Regime Especial de Tributação para Serviços de Datacenter (Redata), e a Lei n. 15.211, de 17 de setembro de 2025",Brasil,2026/09/15,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2026/lei/l15504.htm,codificado,15504
Resolução BCB n. 1/2020,"Resolução BCB n. 1, de 12 de agosto de 2020. Institui o arranjo de pagamentos Pix e aprova o seu Regulamento",Banco Central do Brasil,2020/08/12,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolução%20BCB&numero=1,codificado,BCB
Resolução CNDI/MDIC n. 1/2023,"Resolução CNDI/MDIC n. 1, de 6 de julho de 2023. Propõe a nova política industrial, com a finalidade de nortear as ações do Estado Brasileiro em favor do desenvolvimento industrial",Conselho Nacional de Desenvolvimento Industrial,2023/07/06,https://www.gov.br/mdic/pt-br/composicao/se/cndi/resolucoes/cndi,codificado,CNDI
